Country Name,Country Code,Year,Value
Aruba,ABW,2023,107359
Africa Eastern and Southern,AFE,2023,750503764
Afghanistan,AFG,2023,41454761
Africa Western and Central,AFW,2023,509398589
Angola,AGO,2023,36749906
Albania,ALB,2023,2745972
Andorra,AND,2023,80856
Arab World,ARB,2023,481667539
United Arab Emirates,ARE,2023,10483751
Argentina,ARG,2023,45538401
Armenia,ARM,2023,2990900
American Samoa,ASM,2023,47521
Antigua and Barbuda,ATG,2023,93316
Australia,AUS,2023,26658948
Austria,AUT,2023,9131761
Azerbaijan,AZE,2023,10153958
Burundi,BDI,2023,13689450
Belgium,BEL,2023,11787423
Benin,BEN,2023,14111034
Burkina Faso,BFA,2023,23025776
Bangladesh,BGD,2023,171466990
Bulgaria,BGR,2023,6446596
Bahrain,BHR,2023,1577059
"Bahamas, The",BHS,2023,399440
Bosnia and Herzegovina,BIH,2023,3185073
Belarus,BLR,2023,9178298
Belize,BLZ,2023,411106
Bermuda,BMU,2023,64698
Bolivia,BOL,2023,12244159
Brazil,BRA,2023,211140729
Barbados,BRB,2023,282336
Brunei Darussalam,BRN,2023,458949
Bhutan,BTN,2023,786385
Botswana,BWA,2023,2480244
Central African Republic,CAF,2023,5152421
Canada,CAN,2023,40097761
Central Europe and the Baltics,CEB,2023,100175859
Switzerland,CHE,2023,8888093
Channel Islands,CHI,2023,167691
Chile,CHL,2023,19658835
China,CHN,2023,1410710000
Cote d'Ivoire,CIV,2023,31165654
Cameroon,CMR,2023,28372687
"Congo, Dem. Rep.",COD,2023,105789731
"Congo, Rep.",COG,2023,6182885
Colombia,COL,2023,52321152
Comoros,COM,2023,850387
Cabo Verde,CPV,2023,522331
Costa Rica,CRI,2023,5105525
Caribbean small states,CSS,2023,3152394
Cuba,CUB,2023,11019931
Curacao,CUW,2023,147862
Cayman Islands,CYM,2023,73038
Cyprus,CYP,2023,1344976
Czechia,CZE,2023,10864042
Germany,DEU,2023,83280000
Djibouti,DJI,2023,1152944
Dominica,DMA,2023,66510
Denmark,DNK,2023,5946952
Dominican Republic,DOM,2023,11331265
Algeria,DZA,2023,46164219
